budget,Production_Campany,revenue,Released_Time,runtime,vote_average,vote_count
125000000,1,362637473,1,139,5.6,2350
66000000,0,203277636,1,130,6.1,1520
5000000,0,3220371,2,95,6.7,683
130000000,1,371876278,1,110,5.4,3025
22000000,1,77112176,3,94,6,223
8900000,0,4100000,4,93,5.6,318
15000000,0,19422261,3,110,6.7,1206
1500000,0,3566225,3,104,5.5,342
40000000,1,126546825,3,89,6.3,5878
65000000,0,71154592,1,92,5,687
15000000,1,146497771,1,100,6,1401
165000000,0,471222889,4,108,7.1,4570
30000000,0,27437881,1,100,5.3,724
3800000,0,16800000,3,115,7.9,927
20000000,0,78378744,2,86,4.6,793
95000000,1,543514353,1,105,6.7,2374
40000000,1,22044277,1,91,6,373
80000000,1,473226958,3,89,6.7,1497
6900000,0,44287131,3,101,5.6,555
150000000,1,378858340,2,120,7.2,9427
30000000,1,114281051,3,100,5.8,284
30000000,0,47042000,3,118,6.6,4697
17000000,0,3758328,4,120,6.1,271
99000000,0,246233113,4,88,6.5,604
20000000,0,16549477,3,110,5.9,88
175000000,1,745000000,3,123,5.9,7458
145000000,0,746921274,2,93,6.4,1808
12000000,1,85512300,2,109,6.1,1937
20000000,0,6420319,2,106,7,185
20000000,1,11110975,4,148,6.5,833
25000000,1,39171130,4,111,5.7,543
20000000,1,88346473,4,128,7.8,2686
10000000,1,118587880,2,105,6.1,1306
65000000,0,156974557,1,103,5.9,1389
23000000,1,47351251,4,126,7.9,4097
40000000,1,44907260,4,113,6,433
35000000,1,140795793,3,125,5.9,1181
16000000,0,5867686,3,117,6.2,250
70000000,1,154984035,1,118,5.8,1523
180000000,1,758539785,2,97,7,4496
170000000,0,714766572,1,136,7.6,5764
11000000,0,61619773,2,120,7.3,440
5000000,0,43884652,4,99,7.5,1104
50000000,0,55969000,1,100,4.7,797
61000000,1,441809770,4,157,7.1,1884
80000000,0,126546518,4,87,5.2,133
18000000,1,88923251,1,94,5.5,322
7000000,0,48126384,3,109,7.2,1170
28000000,0,52597999,1,113,6,883
20000000,1,46089287,3,109,6.7,1778
40000000,0,79700000,2,110,5.8,594
100000000,1,392000694,4,180,7.9,6571
40000000,1,67347013,2,134,6.8,255
15000000,0,632542,3,105,6.6,157
50000000,1,234989584,2,113,6.1,1611
15000000,0,145000000,1,84,6.6,1935
190000000,1,1506249360,2,137,7.3,4176
2000000,0,14674076,1,100,6.6,1832
10000000,0,9636289,2,101,6.3,700
70000000,0,61279452,1,99,4.4,533
170000000,0,773328629,3,121,7.9,9742
3300000,0,45000,4,96,4.1,9
6500000,0,255273813,4,99,5.6,1517
28000000,0,68896829,2,90,5.7,615
18000000,0,20275812,4,111,6.7,299
22000000,0,67800064,1,138,5.9,83
25000000,0,28831145,2,109,6.5,304
15000000,1,151831537,4,92,6,680
120000000,1,286168572,2,124,6.4,4800
145000000,0,272912430,1,92,6.7,843
90000000,1,174578751,3,106,5.9,1648
16000000,0,77000000,1,117,6.7,186
45000000,0,30353232,4,101,5.1,300
40000000,0,74597643,1,89,5.7,332
32000000,0,28258060,3,137,7,701
225000000,1,662845518,2,143,6.5,6359
7700000,0,46000000,2,159,7.2,79
190000000,1,209154322,2,130,6.2,2846
12000000,0,66351,4,95,5.6,224
60000000,1,101134059,4,124,6.4,1581
12500000,0,49002684,1,100,6,210
60000000,0,107139399,3,90,6.7,789
34000000,0,348319861,3,113,7,5371
170000000,1,299370084,2,113,6.5,1725
74000000,1,311594032,1,93,5.8,719
120000000,1,609016565,4,127,7.2,5797
35000000,1,51680201,2,87,5.4,647
65000000,1,179379533,2,83,5.9,1743
150000000,1,1274219009,4,102,7.3,5295
40000000,0,571006128,1,125,5.2,3254
20000000,0,12007070,4,125,6.5,546
85000000,1,358375603,3,91,6.8,2566
7000000,0,12400000,4,76,5.1,47
35000000,1,108758521,2,91,5.6,1462
50000000,1,188441614,2,112,7,3319
14000000,0,233555708,4,113,8,5723
176000003,1,183987723,1,124,5.2,2768
14000000,1,11417362,4,87,5.5,134
44000000,1,12342632,4,112,6.1,2304
10000000,0,40055439,1,95,4.8,448
9500000,0,7800000,3,88,6.4,334
39200000,0,86758912,3,126,6.7,2854
170000000,0,644571402,4,112,6.8,4755
40000000,1,251171807,4,138,6.8,2807
35000000,0,61181942,3,123,6.9,1121
50000000,1,216972543,2,107,6.2,1650
35000000,0,21819348,2,90,5.7,414
25000000,0,72629670,3,96,5.2,559
30000000,1,34441873,4,122,6.8,1573
35000000,1,112544580,4,125,7.3,1226
32000000,1,126041322,2,107,6.3,2359
12000000,0,81272766,1,110,6.3,417
58000000,0,783112979,1,108,7.4,10995
8500000,0,15861566,3,120,6.5,178
20000000,0,66787908,4,127,7.4,817
4000000,0,44349000,2,164,7.5,1971
5000000,1,103590271,4,89,4.9,983
13000000,0,45300000,2,89,5.7,290
5000000,0,2450846,4,112,6.6,355
31000000,1,161772375,4,138,6.5,2415
70000000,1,17752940,1,133,5.1,826
17000000,0,71625195,4,123,6.7,110
50000000,0,122915111,4,115,6.7,1659
5000000,0,31724284,1,94,5,1551
50000000,0,41037742,3,95,6.6,1940
