budget,Company,Released_date,revenue,runtime,vote_average,vote_count
70000000,0,1,160112671,88,6.1,1862
43000000,1,2,158674180,117,6.5,1575
58000000,1,3,158162788,103,6.2,995
65000000,0,1,156974557,103,5.9,1389
36000000,0,4,156844753,105,6.5,379
44000000,0,4,155760117,167,7.6,4274
70000000,1,1,154984035,118,5.8,1523
25000000,1,1,153997819,99,6.1,853
50100000,0,1,153962963,105,6.7,2542
15000000,1,4,151831537,92,6,680
175000000,0,4,150962475,119,5.9,1326
40000000,1,4,149295601,121,7.4,1526
90000000,1,4,146936910,106,5.7,1316
15000000,1,1,146497771,100,6,1401
15000000,1,1,145000000,84,6.6,1935
5000000,1,4,142817992,95,5.2,563
35000000,1,3,140795793,125,5.9,1181
33000000,1,3,140470746,99,6.7,663
17000000,1,3,136621271,104,6.4,1219
28000000,0,4,134402450,105,6.4,799
65000000,1,4,133821816,119,6,466
105000000,0,4,133718711,114,5.5,783
28000000,1,4,133346506,130,7.3,2607
40000000,1,4,132820716,157,6.7,1702
61000000,0,3,131940411,109,6.6,1589
102000000,0,4,130482868,172,6.6,2977
150000000,1,3,128388320,111,5.9,954
17000000,0,1,127730736,95,6.1,1206
40000000,1,3,126546825,89,6.3,5878
80000000,0,4,126546518,87,5.2,133
40000000,1,3,126069509,97,5.3,1695
32000000,1,2,126041322,107,6.3,2359
110000000,1,4,125537191,114,6.6,2303
15000000,0,4,123726688,123,7.8,3311
40000000,1,2,123494610,117,6.6,1006
50000000,1,4,122915111,115,6.7,1659
14800000,1,3,122513057,115,6.3,706
46000000,0,3,122126687,153,7.9,3085
60000000,1,1,118338361,88,6.4,374
130000000,0,1,117831631,105,5.2,1267
75000000,1,2,117698894,115,7.3,5487
35000000,1,1,116980662,97,6.4,2652
25000000,0,3,115922175,132,7.2,1101
17000000,0,3,115350426,112,7.3,2247
30000000,1,3,114281051,100,5.8,284
95000000,0,4,114178613,102,5.2,957
35000000,1,4,112544580,125,7.3,1226
69000000,1,2,112265139,94,5.5,1269
40000000,1,1,111811453,100,5.9,944
55000000,0,4,110000000,91,5.7,254
9000000,1,3,108782847,104,6.6,1954
60000000,0,3,108255770,97,6.6,668
75000000,1,3,108145109,116,7.1,2265
42000000,1,4,107670357,108,6.1,1536
38000000,1,2,107597242,94,5,567
60000000,0,3,107139399,90,6.7,789
60000000,1,1,105200903,113,6.2,1778
49000000,1,1,104399548,120,6.6,3062
31000000,1,3,104384188,99,6.2,1195
10000000,1,2,104303851,97,6.2,983
5000000,1,4,103590271,89,4.9,983
18000000,0,3,103215094,119,7.4,4535
100000000,0,2,103039258,119,5.9,2295
1000000,0,1,101758490,83,4.6,262
12000000,0,2,101332962,99,6,229
60000000,0,4,101134059,124,6.4,1581
28000000,1,4,100654149,81,6.1,493
12000000,0,4,100129872,98,7.4,579
40000000,0,3,100000000,159,7.5,135
12000000,0,1,100000000,88,6.5,1564
25000000,1,2,99357138,101,6.8,946
18000000,0,3,99206215,98,7,1098
5500000,0,3,99067206,115,7.5,205
53000000,0,3,98837872,122,6.3,1242
5000000,0,3,98450062,94,6,1360
38000000,0,3,98337295,119,6.2,2035
