budget,production_companies,release_quarter,revenue,runtime,vote_average,vote_count
245000000,1,4,880674609,148,6.3,4466
260000000,1,1,284139100,132,6.1,2124
280000000,0,2,1405403694,141,7.3,6767
255000000,1,3,89289910,149,5.9,2311
225000000,0,2,662845518,143,6.5,6359
220000000,1,2,1519557910,143,7.4,11776
225000000,0,2,624026776,106,6.2,4160
250000000,0,4,956019788,144,7.1,4760
215000000,1,2,752215857,136,6.5,6586
250000000,0,2,1153304495,147,7.1,7241
209000000,1,2,303025485,131,5.5,2114
150000000,1,2,1513528810,124,6.5,8662
200000000,1,4,1108561013,143,6.9,7604
200000000,0,2,1215439994,130,6.8,8806
200000000,1,2,743559607,104,7,3528
200000000,1,1,491868548,130,5.7,3530
200000000,1,2,705717432,142,6.5,4179
190000000,1,2,1506249360,137,7.3,4176
200000000,1,2,531865000,116,6.7,5560
250000000,1,2,747862775,131,7.5,6032
190000000,1,2,467365246,132,7.4,4418
195000000,0,1,197687603,114,5.5,2598
105000000,0,2,351040419,143,7.3,3769
180000000,0,3,407602906,131,6.7,4794
175000000,1,4,331926147,93,6.6,1736
185000000,1,2,538983207,93,6.7,4641
185000000,1,3,343471816,122,6.6,2568
176000003,0,1,183987723,124,5.2,2768
180000000,0,2,356743061,109,5.5,2430
178000000,1,2,543934787,144,6.4,4721
175000000,0,3,745000000,123,5.9,7458
178000000,0,2,370541256,113,7.6,4858
175000000,1,2,857611174,94,8,6560
175000000,1,2,966550600,106,6.7,2892
170000000,1,2,396600000,127,5.8,3118
180000000,1,2,758539785,97,7,4496
170000000,0,2,710644566,130,7.3,4410
175000000,0,4,150962475,119,5.9,1326
170000000,0,1,714766572,136,7.6,5764
190000000,1,2,209154322,130,6.2,2846
165000000,1,4,652105443,102,7.8,6135
165000000,1,4,471222889,108,7.1,4570
165000000,1,2,389681935,120,4.9,2491
170000000,0,3,773328629,121,7.9,9742
15000000,0,3,77000000,120,6.5,143
160000000,0,4,653428261,137,6.6,3984
170000000,1,2,299370084,113,6.5,1725
160000000,1,2,433677183,123,6.3,2268
155000000,1,2,440603537,126,5.8,3631
150000000,1,4,1274219009,102,7.3,5295
170000000,0,4,644571402,112,6.8,4755
150000000,0,2,378858340,120,7.2,9427
150000000,0,1,301000000,99,5.5,1431
150000000,0,2,245527149,113,5.7,2320
150000000,1,3,682330139,131,7.1,3224
150000000,1,2,205366737,131,6.4,1891
150000000,1,3,128388320,111,5.9,954
145000000,0,1,272912430,92,6.7,843
145000000,1,2,746921274,93,6.4,1808
144000000,1,3,229147509,116,5.3,2142
145000000,1,1,521170825,95,6.7,1603
145000000,1,4,306941670,97,7.1,1922
140000000,0,4,268031828,150,5.6,1921
145000000,1,2,609123048,102,7.6,3106
140000000,1,1,150680864,127,5.3,1277
130000000,1,1,371876278,110,5.4,3025
120000000,1,4,829000000,115,6.1,2553
140000000,1,2,183345589,120,6,1000
135000000,1,3,282570682,96,6.1,1074
132000000,1,4,373552094,92,6.5,1346
130000000,0,3,519311965,117,7,5880
130000000,1,4,847423452,146,7.4,6495
135000000,1,1,368871007,94,6.8,1519
125000000,1,1,362637473,139,5.6,2350
130000000,1,2,243843127,100,5,2532
127000000,1,4,349424282,97,6.1,1851
130000000,1,3,61648500,96,5.4,1260
125000000,1,4,752100229,123,6.6,5584
103000000,0,1,500188435,102,6.3,978
130000000,1,3,276572938,120,6,2651
120000000,0,4,609016565,127,7.2,5797
120000000,0,3,415484914,123,5.9,2341
130000000,1,2,403170142,124,6.3,5080
115000000,0,3,286140700,109,6.4,3439
120000000,1,1,242688965,102,5.7,2342
120000000,1,2,286168572,124,6.4,4800
120000000,1,3,415440673,126,6.3,4053
135000000,1,1,585178928,98,6.8,2399
115000000,1,2,164602163,114,6,1523
125000000,1,3,477200000,101,5.8,2636
105000000,1,3,716392705,91,7.3,5751
135000000,1,2,245623848,112,5.8,963
120000000,1,3,167977596,100,4.4,2278
110000000,0,2,470490832,114,6,2968
110000000,1,1,295238201,119,6.2,3829
110000000,0,1,337580051,102,6.1,2397
110000000,1,1,179246868,121,5.9,1998
105000000,1,3,347434178,105,5.5,695
110000000,1,4,125537191,114,6.6,2303
108000000,1,3,630161890,141,7.6,7268
100000000,0,3,312573423,103,6.1,2896
100000000,0,2,268426634,102,6.4,1121
100000000,1,3,243400000,99,5.6,1680
90000000,0,3,206172544,127,6.1,1795
105000000,0,4,133718711,114,5.5,783
100000000,0,4,93820758,122,6.5,1276
95000000,1,1,543514353,105,6.7,2374
95000000,0,4,114178613,102,5.2,957
100000000,0,2,103039258,119,5.9,2295
92000000,0,1,304654182,98,5.2,3493
90000000,0,4,188133322,114,7,3144
100000000,1,3,94061311,125,5.3,621
88000000,1,3,243637091,105,5.6,2513
90000000,0,3,174578751,106,5.9,1648
90000000,1,2,334901337,129,6.7,3235
85000000,1,3,358375603,91,6.8,2566
85000000,1,1,208076205,115,6.3,1345
85000000,1,1,288747895,139,6.9,4663
85000000,0,1,183018522,106,5.5,1114
50000000,0,3,41037742,95,6.6,1940
75000000,1,1,691210692,142,6.9,9455
80000000,1,3,246984278,100,5.8,1155
68000000,1,4,211817906,135,7.4,3946
90000000,1,4,146936910,106,5.7,1316
130000000,0,1,117831631,105,5.2,1267
79000000,0,1,355692760,94,5.8,1030
78000000,1,3,248384621,95,6.4,915
64000000,0,3,97571250,92,7.6,756
76000000,1,2,970761885,98,7,4637
75000000,1,2,117698894,115,7.3,5487
75000000,0,3,108145109,116,7.1,2265
74000000,1,2,1156730962,91,6.4,4571
73000000,1,2,349779543,97,5.9,1022
74000000,1,1,311594032,93,5.8,719
70000000,0,1,161025640,120,6.2,2981
70000000,1,1,154984035,118,5.8,1523
70000000,1,4,215529201,92,6.2,2389
75000000,0,2,59418613,123,6,385
70000000,1,1,17752940,133,5.1,826
50000000,1,4,122915111,115,6.7,1659
70000000,0,1,61279452,99,4.4,533
68000000,1,2,217022588,115,6.2,2463
80000000,1,1,52099090,114,6.3,588
69000000,1,2,112265139,94,5.5,1269
66000000,1,1,203277636,130,6.1,1520
65000000,1,4,275293450,149,6.7,1429
65000000,0,4,163442937,137,7.3,1400
65000000,1,4,133821816,119,6,466
50100000,0,1,153962963,105,6.7,2542
65000000,0,1,156974557,103,5.9,1389
65000000,0,3,240159255,95,5.6,1600
65000000,0,1,71154592,92,5,687
65000000,0,3,39407616,102,6.3,1286
55000000,1,3,203427584,121,6.7,1772
65000000,0,1,121545703,127,5.9,145
61000000,1,4,369330363,145,7.9,5862
61000000,1,3,131940411,109,6.6,1589
61000000,0,3,311256926,132,6.4,3040
60000000,1,4,218340595,130,6.3,2998
60000000,0,3,107139399,90,6.7,789
60000000,1,1,50549107,105,5.9,1173
60000000,0,4,101134059,124,6.4,1581
60000000,0,1,205754447,99,5.8,1621
60000000,0,3,108255770,97,6.6,668
60000000,0,1,469160692,100,7.5,3070
60000000,0,1,105200903,113,6.2,1778
60000000,0,1,30800231,118,6,487
60000000,0,3,90565421,130,6.2,1602
60000000,1,1,30418560,106,5.4,1055
58000000,1,1,783112979,108,7.4,10995
58800000,0,4,542307423,133,7.4,4469
58000000,1,3,158162788,103,6.2,995
58000000,1,2,44000000,119,6.1,1658
58000000,0,1,50365377,125,5.9,178
70000000,1,2,58058367,116,5.5,453
55000000,1,4,95000000,134,7.6,2454
55000000,1,3,192330738,132,7.1,2954
55000000,0,4,110000000,91,5.7,254
55000000,0,4,259207227,95,7,883
68000000,0,3,68267862,98,5.3,881
50000000,0,1,80383290,112,6.2,316
53000000,0,3,98837872,122,6.3,1242
50000000,1,2,549368315,106,6.3,4697
50000000,1,4,173649015,119,6,923
50000000,1,2,188441614,112,7,3319
50000000,0,2,216972543,107,6.2,1650
50000000,1,4,242786137,96,5.8,854
50000000,1,4,212902372,125,5.6,1652
50000000,0,1,222809600,106,6.8,2268
50000000,1,1,69411370,144,7,938
50000000,1,4,97437106,95,7.3,755
50000000,1,2,234989584,113,6.1,1611
50000000,0,4,83719388,141,7.2,1417
44000000,0,1,63327201,125,6,1817
50000000,0,2,25035950,139,6.6,428
50000000,0,1,71561644,114,6.3,1148
60000000,0,1,60052138,124,5.6,984
50000000,0,1,55969000,100,4.7,797
49000000,1,1,104399548,120,6.6,3062
48000000,1,4,325771424,109,6.1,2200
25000000,0,3,15436808,127,6.6,573
45000000,1,3,376141306,91,6.1,2757
40000000,0,2,123494610,117,6.6,1006
45000000,0,3,82966152,131,6.2,766
44500000,0,4,232324128,120,7.1,3423
40000000,1,4,34227298,109,5.6,685
42000000,1,1,201585328,109,6.7,4074
43000000,0,2,158674180,117,6.5,1575
40000000,0,1,36893721,91,5.3,388
44000000,1,4,12342632,112,6.1,2304
42000000,1,1,46221189,102,6.2,925
40000000,1,4,251171807,138,6.8,2807
40000000,0,1,571006128,125,5.2,3254
40000000,1,4,149295601,121,7.4,1526
40000000,0,2,320170008,134,7,1949
40000000,0,1,111811453,100,5.9,944
40000000,1,2,95020213,128,6.8,787
40000000,0,4,169837010,110,5.4,1127
35000000,0,3,194564672,121,7.1,1881
40000000,1,1,124827316,102,6.1,555
40000000,1,2,196781193,109,6.2,1437
40000000,1,4,165478348,141,7.2,2583
42000000,0,4,107670357,108,6.1,1536
40000000,1,2,67347013,134,6.8,255
40000000,1,4,41863726,95,5.4,284
40000000,0,3,126069509,97,5.3,1695
42000000,1,3,180274123,113,7,2025
40000000,1,1,24719215,107,6.6,152
40000000,1,1,22044277,91,6,373
40000000,0,1,13644292,115,5.5,392
39200000,0,3,86758912,126,6.7,2854
40000000,0,4,44907260,113,6,433
38000000,1,2,107597242,94,5,567
38000000,0,3,98337295,119,6.2,2035
32000000,0,3,28258060,137,7,701
38000000,1,1,109906372,112,5.6,1945
37000000,0,4,173567581,133,7.3,1915
40000000,0,2,79700000,110,5.8,594
38000000,0,3,90247624,123,7.7,2277
38000000,0,1,112343513,110,5.9,1201
37000000,0,3,269994119,110,6.8,2972
37000000,0,2,26250020,105,5.2,692
36000000,0,4,156844753,105,6.5,379
35000000,0,1,173965010,111,5.6,1645
35000000,1,3,140795793,125,5.9,1181
35000000,1,2,108758521,91,5.6,1462
35000000,1,4,112544580,125,7.3,1226
35000000,0,4,88058786,134,5.6,896
45000000,1,4,30353232,101,5.1,300
35000000,1,4,50363790,123,7,823
56000000,0,1,19701164,109,5.7,593
35000000,0,3,31083599,91,6.2,832
35000000,0,1,46216641,118,5.7,1455
35000000,0,1,17508518,110,5.5,555
35000000,0,3,61181942,123,6.9,1121
34000000,0,3,348319861,113,7,5371
35000000,0,1,14431253,91,5,320
34000000,0,2,63013281,128,7.3,1064
35000000,0,4,27330000,141,6.5,224
33000000,1,3,140470746,99,6.7,663
30000000,0,2,40346186,94,6.3,799
35000000,0,1,24159934,98,5.3,394
32000000,1,2,126041322,107,6.3,2359
35000000,0,2,21819348,90,5.7,414
30000000,0,1,27437881,100,5.3,724
31500000,1,2,14708696,113,5.7,557
31000000,1,4,161772375,138,6.5,2415
30000000,0,1,174600318,99,8,4519
31000000,0,3,104384188,99,6.2,1195
30000000,0,1,196114570,104,7,1293
25000000,0,3,115922175,132,7.2,1101
35000000,1,1,116980662,97,6.4,2652
30000000,0,3,47042000,118,6.6,4697
30000000,1,3,114281051,100,5.8,284
30000000,0,2,54819301,92,4.9,140
30000000,1,3,84025816,121,7.2,2416
30000000,0,2,91709827,123,7.3,2067
25000000,0,2,65663276,112,7.4,1990
30000000,1,2,66486080,95,6.5,2263
30000000,0,4,82394288,100,5.8,1463
30000000,0,1,63372757,106,6.4,1323
30000000,1,2,53909751,124,5.7,457
30000000,0,3,62616646,91,5.5,543
29000000,1,2,287506194,115,6.8,1940
29000000,1,2,78636257,91,5.5,431
28000000,0,3,201634991,147,7.7,1355
29000000,0,2,48902953,110,6.6,392
28000000,1,4,133346506,130,7.3,2607
30000000,0,3,17137302,115,6.5,356
28000000,0,4,134402450,105,6.4,799
28000000,0,1,97594140,115,6.9,823
28000000,0,1,52597999,113,6,883
28000000,1,1,16374328,108,5.5,640
28000000,1,3,60700000,103,6.3,2224
28000000,0,2,68896829,90,5.7,615
27000000,0,2,93282604,98,6.5,1068
28000000,0,3,53181600,113,6.2,1131
25000000,1,2,86175291,130,6.1,1573
26000000,0,1,29657751,111,6.1,426
26000000,0,3,30523226,116,6.3,1091
26000000,0,4,35926213,117,7.2,765
25000000,1,1,153997819,99,6.1,853
25000000,1,4,119772232,104,5.7,210
25000000,0,2,99357138,101,6.8,946
25000000,0,1,77278331,117,6.4,1451
25000000,1,1,63100000,109,6.1,770
25000000,1,2,38307627,124,6.6,259
25000000,0,3,66980456,94,6.4,1798
25000000,1,4,39171130,111,5.7,543
25000000,0,4,74188937,121,6.9,483
23000000,0,1,46152800,106,7.2,661
25000000,0,3,42972994,131,6.7,973
25000000,1,2,28831145,109,6.5,304
25000000,0,3,24902723,120,6,378
14000000,0,3,85446075,92,5.8,498
13500000,0,1,19255873,124,7.7,704
25000000,0,4,71009334,117,5,712
24000000,0,2,70181428,105,6.4,225
23000000,1,4,47351251,126,7.9,4097
22500000,0,4,15520023,112,6.8,431
22000000,0,3,88880821,122,7.3,508
26000000,1,4,51164106,105,6.2,551
22000000,0,3,77112176,94,6,223
22000000,1,1,63647656,106,5.7,1309
22000000,0,4,43058898,100,6.4,875
25000000,0,3,72629670,96,5.2,559
22000000,0,3,15447154,92,6.2,659
22000000,0,4,15400000,116,6.5,720
22000000,0,3,24000000,106,6,122
17000000,0,2,73244881,111,5.6,546
21000000,0,3,205738714,122,6.9,4742
13000000,0,3,318000141,112,7.4,3092
20000000,0,3,100525432,97,5,500
20000000,0,4,187000000,134,7.9,3674
20000000,0,2,207945075,110,7.6,2562
20000000,0,3,183936074,100,6.3,1252
20000000,0,4,66787908,127,7.4,817
20000000,0,2,43967255,111,6.8,276
20000000,1,4,88346473,128,7.8,2686
19800000,0,3,41296320,103,6.5,505
20000000,0,1,47241945,92,5.3,465
20000000,1,1,46069568,107,5.7,295
20000000,1,3,46089287,109,6.7,1778
20000000,1,3,83707310,96,7.1,2181
20000000,1,1,34077920,103,6.7,542
20000000,0,4,52302796,94,5,432
19500000,0,4,34854990,111,6.2,336
20000000,0,2,32204030,95,5.8,715
20000000,0,1,12639297,115,5.6,797
20000000,0,4,36606743,100,6.3,950
20000000,0,4,11110975,148,6.5,833
12000000,0,3,15008161,107,5.3,631
20000000,0,4,12007070,125,6.5,546
20000000,1,2,16863583,93,4.8,271
18000000,1,2,268157400,96,6.2,2713
16000000,0,4,19682924,110,3.7,392
18000000,1,1,88923251,94,5.5,322
18000000,0,3,103215094,119,7.4,4535
18000000,0,3,99206215,98,7,1098
17000000,0,4,24000000,107,5.4,167
30000000,1,4,34441873,122,6.8,1573
18000000,0,3,10501938,90,4.9,246
18000000,0,3,25312387,94,5.7,164
18000000,0,4,20275812,111,6.7,299
18000000,0,4,22309223,116,6.7,273
14000000,0,1,13551174,119,6,376
