Y,E1,E2,E3,E4,E5,E6,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,G13,G14,G15,G16,G17,G18,G19,G20,G21,G22,G23,G24,G25
12792217118,725.2523323,1295.052401,-347.2523956,799.0936766,719.1290133,44.16350122,1,1,0,1,0,0,0,1,1,0,1,1,0,1,1,0,0,0,0,1,1,0,1,1,1
11436002944,1088.893072,953.3553726,634.7012082,1638.675025,1550.446799,1340.512599,0,0,0,1,1,0,1,1,1,0,0,0,1,0,1,0,1,0,0,1,1,1,0,0,0
-5939101786,1660.700798,1054.05376,558.5775622,1320.116505,-206.2350323,1055.795509,0,0,0,0,1,0,1,0,0,1,0,1,1,0,0,0,1,1,1,1,1,0,0,0,1
-3341607770,1489.120721,570.4619988,-294.5379335,1104.750467,1695.624417,106.8714514,1,0,0,1,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,0,1,1,0
11701119931,431.6119377,-24.91761571,795.8634443,1230.165118,1140.112715,894.3491084,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,1,1,1,0,0,1,1,0,0
10377989905,-119.6215728,382.450059,499.456586,-96.81315586,964.3842024,-299.5492737,1,0,NA,0,1,0,0,1,1,1,0,1,0,1,0,1,1,1,1,0,1,0,1,1,0
20268904034,435.0932636,1058.596318,1170.565207,1664.322986,-97.02525637,859.0387466,1,1,1,1,1,1,1,0,1,0,1,1,1,1,0,0,1,1,0,1,0,1,1,1,0
-4895779136,1264.340825,749.0329878,771.4186578,1518.986605,1157.844444,-630.7858454,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,0,1,1,1,0,0,0,1,0,0
-11719316.13,-399.8082424,-695.5415856,1507.64046,970.6674746,1629.811452,-170.4660224,0,0,0,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,1
-2970064057,1191.182369,871.4595966,-260.7899986,65.71706832,56.15577333,-125.6255587,1,0,0,0,0,0,0,1,0,1,NA,1,1,1,1,1,1,0,0,1,1,1,0,1,0
22587652781,873.1735659,732.2841981,964.9774617,1709.758857,653.5692485,1948.380821,0,1,0,0,1,0,0,1,1,1,1,1,0,0,1,1,1,1,1,0,1,1,0,1,0
4365646489,967.911529,1131.79623,188.5572531,1208.515118,1118.127924,584.9497185,1,1,1,1,0,1,1,0,1,0,0,0,1,1,0,1,1,1,0,1,1,0,0,0,1
9930210330,261.0355645,1281.577986,1004.584333,1401.958803,1088.133608,881.6229227,1,1,1,1,0,1,0,0,1,1,1,1,1,1,0,1,0,0,1,0,0,0,1,1,1
26294844917,1433.635674,720.083226,818.1796614,1119.877943,808.7056634,415.5342385,1,0,0,0,1,1,1,0,0,1,1,1,1,0,1,1,1,1,1,0,0,0,1,1,1
-6585892351,281.5510035,255.5663719,473.0623978,928.3913199,457.2810957,1006.022926,1,1,1,1,0,1,1,1,0,0,0,1,0,1,1,0,0,0,1,0,1,1,NA,1,1
27958317577,939.5625516,1578.323817,1256.329398,1403.311721,1593.365524,661.3237338,1,0,0,0,0,1,1,0,1,0,1,0,1,0,0,1,1,1,0,1,1,1,1,1,0
-2818493238,571.8553221,NA,-367.4282437,1922.240258,248.2225499,261.6995583,0,0,0,1,0,0,1,1,0,0,1,0,1,0,0,0,1,0,1,1,1,1,NA,0,0
11813992493,913.0756445,427.3595102,1242.23365,909.2778502,1328.495266,187.5383144,0,0,0,1,0,1,0,1,1,0,1,1,1,1,1,1,0,0,1,0,0,0,0,1,0
7342044265,831.0123396,583.2602885,1377.973687,1433.063681,1424.45886,2182.157643,0,0,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,0,1,1,1,1,1,1,1
18558944650,1379.8965,2538.874105,968.5124803,1301.762659,1517.865622,416.8342495,1,1,1,0,0,0,1,0,1,1,1,0,1,0,0,1,1,0,1,0,0,0,0,1,1
6160115343,1384.225766,482.8295772,-439.5352376,590.0405603,533.8304889,733.920847,1,1,1,1,1,0,1,1,0,1,1,1,0,0,1,0,0,0,0,1,1,0,0,0,1
10192126239,833.4220115,359.7836068,947.0264462,880.2534145,1596.670137,-1697.896099,1,0,NA,1,0,0,0,1,0,1,1,1,1,1,0,0,1,0,0,1,1,0,1,0,0
13883378051,1158.829856,1187.04583,87.74268227,1507.333607,997.7047818,1513.877874,0,NA,1,0,0,1,1,0,0,1,1,1,1,0,1,1,0,1,0,0,1,1,0,1,0
20065727122,511.814899,934.9520851,2055.531189,1167.035003,1063.433968,-499.3458077,1,0,0,1,0,0,0,0,1,0,1,1,1,0,1,0,NA,0,0,0,1,0,1,0,0
7058609827,688.7916981,662.2439952,187.4200594,930.3878262,681.0493676,NA,1,0,1,0,0,1,1,1,1,0,0,0,0,1,0,1,1,0,1,0,0,0,0,1,0
-7652259586,1769.001207,757.5178139,1055.543582,2247.657791,640.9467537,1155.355401,0,0,1,1,0,1,0,1,1,1,1,NA,0,0,1,1,0,1,1,0,1,1,1,1,1
36123721033,715.8281137,699.8384581,547.14967,519.8562469,1815.718762,916.724854,1,0,1,1,1,1,1,1,0,0,1,0,1,0,0,1,1,1,1,1,0,1,1,1,1
-14752589315,913.3718561,538.9972203,206.6638893,1339.002318,-401.9524023,1580.207327,1,0,1,1,0,1,1,0,0,1,1,0,1,0,0,0,0,0,1,0,1,0,1,1,1
10798542677,987.27495,570.3636711,824.2116875,747.1695813,567.9313721,-294.1827712,0,1,1,0,1,0,1,0,1,0,1,1,1,1,1,1,0,1,0,1,1,0,0,0,1
24187063834,346.6505794,482.1561694,253.103454,858.4651966,1477.283973,1715.752807,0,1,0,0,0,1,0,1,1,1,1,1,0,0,1,1,1,0,0,1,1,0,0,1,0
10917012502,-474.2669656,967.2586452,578.4068782,352.3818101,1491.482597,160.7297697,1,0,1,0,0,1,0,0,0,1,1,1,0,0,0,1,0,1,0,0,0,1,0,1,0
28377162743,631.5809525,830.8695852,1169.72527,220.923761,421.8060147,-547.0801676,0,1,1,1,1,0,1,0,1,1,0,0,1,0,0,1,1,0,1,1,1,1,0,1,0
-5685484111,1170.426443,1620.253975,108.7812425,973.7521501,1085.524612,173.202007,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,1,1,1,1,1,0,1,0,0,1
4370246796,515.7322214,735.862074,-196.9524049,647.8619671,1440.29303,518.1592126,0,0,1,0,1,0,1,1,1,1,0,1,1,0,1,1,1,1,1,0,0,1,1,0,0
-3739911963,1402.911479,-868.5952945,1085.0373,182.5353146,1273.743211,321.0498524,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0
1793678693,987.0115957,1150.520919,429.4526437,1208.613458,463.596618,946.2220997,1,0,0,1,1,1,0,1,1,1,0,0,0,1,0,0,NA,0,1,0,1,0,1,1,0
10844298854,512.6745993,-134.8828613,601.5358977,1253.471418,527.5230372,569.83942,1,1,0,1,1,0,0,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1,0,1,0
-13668854057,836.894266,1072.875822,-222.3964893,1824.466917,150.8433051,931.8791646,0,0,0,1,1,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,NA,0,0,1,1
16015152060,1138.08492,728.979905,779.8885437,694.3810102,1801.732763,288.0127515,1,1,1,0,0,0,0,1,0,1,1,0,0,0,1,1,1,0,1,0,1,0,0,1,0
28642713952,1292.516515,666.8980571,175.2248293,1200.132422,1409.603645,1069.510018,0,0,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1
9903840050,971.5989675,633.0543258,1025.370313,143.8901738,943.14214,147.0339714,1,1,1,1,1,1,1,0,1,1,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0
-4704215556,538.6128711,1261.586537,353.7162577,611.120254,1319.498817,-58.69634778,1,0,1,1,0,0,1,0,0,1,1,NA,1,0,0,1,0,0,0,1,0,1,1,1,0
12869303006,1249.282653,445.7684028,1728.001296,990.1772694,740.3899194,939.7096246,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0
-6402821701,204.4613678,2213.382415,-298.0299646,647.4067863,NA,1842.656308,1,1,1,0,1,0,0,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,0,1,1
-1445899568,NA,463.5156267,1269.524257,1190.11136,161.2312753,1099.230683,1,1,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0
19219060780,558.6897355,1437.935072,1084.000354,1236.226484,815.2965716,483.8568291,0,1,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,0,0,1,0,0,1,1,0
1175899264,291.2941133,1568.507863,1108.050866,658.7315187,2293.256398,1502.893074,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,1,1,0,1,0,0
362429949.6,1571.490508,239.4012233,491.0202406,1354.781992,976.8100977,613.5356293,0,1,0,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1,1
13942394097,524.3971089,849.2128159,1561.456609,1349.484912,1225.411336,680.4422596,0,0,0,1,0,1,1,0,0,1,1,0,1,0,0,0,1,0,0,1,0,1,0,0,1
14528226347,83.26101493,274.8516004,1026.552704,1242.190105,2429.055879,-531.8887091,1,0,0,0,1,1,1,1,0,1,1,1,1,1,1,1,0,0,1,1,0,0,1,1,0
